"","Real Monthly Commodity Trade Weighted Exchange Rate Indexes","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78"
"494","3","2010","100.37992095947266","100.65776824951172","101.08896636962891","100.87257385253906","101.48250579833984","100.89105987548828","101.21418762207031","99.953811645507812","101.32465362548828","100.41938018798828","100.33887481689453","100.06768798828125","101.02642822265625","100.66812133789062","100.54543304443359","100.40058898925781","99.837188720703125","100.77333068847656","100.32632446289062","100.498779296875","100.5072021484375","100.13381195068359","100.20665740966797","100.92609405517578","100.15657806396484","100.42168426513672","100.42790222167969",NA,"99.952499389648438","99.709205627441406","99.283065795898438","99.334671020507812","99.588623046875","99.582504272460938","99.608909606933594","99.866775512695312","98.801933288574219","98.887504577636719","99.420669555664062","98.950370788574219","98.623291015625","98.910316467285156","98.877822875976562","99.076919555664062","98.474441528320312","99.205101013183594","99.063430786132812","98.731292724609375","99.016883850097656","98.902725219726562","98.309036254882812","98.545890808105469","98.868560791015625",NA,"100.51709747314453","101.25453948974609","101.11869812011719","102.77495574951172","100.16989135742188","100.79841613769531","100.26095581054688","100.94658660888672","99.604202270507812","99.952842712402344","100.61032867431641","100.18027496337891","98.946174621582031","101.04691314697266","99.830207824707031","99.922737121582031","99.945693969726562","101.02493286132812","100.80218505859375","101.404052734375","100.65431213378906","99.365577697753906"
"495","4","2010","99.472381591796875","100.00198364257812","100.72028350830078","100.95127105712891","100.31590270996094","100.31968688964844","100.95452117919922","99.493057250976562","100.96746826171875","99.570228576660156","99.3736572265625","99.380882263183594","100.51919555664062","99.510910034179688","99.935005187988281","99.49395751953125","99.513084411621094","99.460800170898438","98.937423706054688","99.476524353027344","99.505905151367188","98.978630065917969","99.403175354003906","100.95783996582031","98.901069641113281","99.483695983886719","99.948333740234375",NA,"99.891098022460938","99.47998046875","99.3631591796875","99.364158630371094","99.563873291015625","99.587966918945312","99.514274597167969","99.618148803710938","98.996467590332031","99.213676452636719","99.463264465332031","99.252243041992188","99.0687255859375","99.214866638183594","99.206428527832031","99.325912475585938","99.035957336425781","99.331474304199219","99.309524536132812","99.16107177734375","99.242576599121094","99.147056579589844","98.896461486816406","99.01708984375","99.210289001464844",NA,"99.409904479980469","100.08895111083984","100.38845062255859","101.2794189453125","99.5120849609375","99.481803894042969","99.116859436035156","99.217819213867188","97.826988220214844","98.124038696289062","99.588768005371094","99.07916259765625","98.814491271972656","99.61700439453125","98.127403259277344","98.686065673828125","98.712257385253906","99.359954833984375","99.823295593261719","100.38721466064453","99.454971313476562","99.041069030761719"
"496","5","2010","102.61041259765625","102.20926666259766","102.18287658691406","102.36767578125","101.96470642089844","102.04245758056641","101.94631958007812","103.62638092041016","102.44589996337891","102.24356079101562","101.95021820068359","102.14471435546875","102.51975250244141","101.95505523681641","101.66973876953125","102.07130432128906","102.96791076660156","101.93752288818359","101.77326202392578","102.09734344482422","101.91507720947266","101.972412109375","101.98487091064453","102.42533111572266","101.16452026367188","102.93292236328125","102.70536804199219",NA,"103.49055480957031","103.87667846679688","104.14928436279297","103.97515106201172","104.12957000732422","104.04585266113281","103.65354156494141","103.79347991943359","104.39173889160156","104.53440856933594","103.82068634033203","104.53960418701172","104.61579895019531","104.63355255126953","104.54701232910156","104.5208740234375","104.88229370117188","104.33766937255859","104.40217590332031","104.58211517333984","104.47971343994141","104.54488372802734","104.92027282714844","104.74217987060547","104.58489990234375",NA,"102.43455505371094","102.32868957519531","102.35528564453125","103.02826690673828","103.10417175292969","101.61367034912109","102.64098358154297","102.31697845458984","101.54138946533203","101.413330078125","103.2578125","102.60772705078125","104.15870666503906","101.94058227539062","101.56311798095703","102.22244262695312","102.68887329101562","102.78204345703125","102.41205596923828","102.06333923339844","101.80885314941406","104.61298370361328"
"497","6","2010","103.19350433349609","102.49739074707031","102.27626037597656","102.70001983642578","102.19671630859375","102.13649749755859","101.84659576416016","104.79551696777344","102.24428558349609","102.72895812988281","102.41102600097656","102.71532440185547","102.75180816650391","102.28954315185547","102.40854644775391","102.40179443359375","104.16156768798828","102.21535491943359","101.94847869873047","102.36333465576172","101.93379211425781","102.25839996337891","102.57891082763672","102.54487609863281","101.54775238037109","103.34445190429688","103.19973754882812",NA,"104.77313232421875","105.39277648925781","105.92183685302734","105.66924285888672","105.75592803955078","105.72726440429688","105.07491302490234","105.16297149658203","106.44915008544922","106.61335754394531","105.48042297363281","106.59263610839844","106.82736206054688","106.74253845214844","106.66199493408203","106.52518463134766","107.30091857910156","106.20742034912109","106.41007995605469","106.78065490722656","106.49956512451172","106.70191192626953","107.40545654296875","107.0828857421875","106.69166564941406",NA,"102.82487487792969","101.99416351318359","101.69371032714844","101.85809326171875","103.83617401123047","101.73660278320312","103.39287567138672","102.88614654541016","101.74739837646484","101.55384063720703","104.32828521728516","103.24062347412109","106.026123046875","102.1416015625","101.83503723144531","102.62966918945312","103.45576477050781","103.58282470703125","102.66934967041016","102.05923461914062","101.81700897216797","106.21665191650391"
"498","7","2010","101.63864135742188","101.30113220214844","101.01500701904297","101.34609985351562","101.06498718261719","101.07677459716797","100.66127777099609","101.96024322509766","100.93917083740234","101.51216888427734","101.44980621337891","101.48344421386719","101.26967620849609","101.44804382324219","101.56466674804688","101.44065093994141","102.34537506103516","101.37538146972656","101.25762176513672","101.37581634521484","101.10362243652344","101.29922485351562","101.72153472900391","101.31234741210938","101.39789581298828","101.58358764648438","101.47566986083984",NA,"102.08287811279297","102.30769348144531","102.54807281494141","102.49248504638672","102.38119506835938","102.46282196044922","102.15183258056641","102.08340454101562","102.86048126220703","102.79397583007812","102.27044677734375","102.75674438476562","102.94496917724609","102.92467498779297","102.89471435546875","102.78885650634766","103.16153717041016","102.64325714111328","102.81845092773438","102.97550964355469","102.81159973144531","102.93500518798828","103.25115203857422","103.07335662841797","102.91904449462891",NA,"101.41378784179688","100.41378021240234","99.954673767089844","99.56781005859375","101.04543304443359","101.07089996337891","101.61212158203125","101.14188385009766","101.43695831298828","101.49261474609375","101.28749847412109","101.79179382324219","103.04904174804688","101.40550231933594","101.61966705322266","101.58747100830078","101.57503509521484","102.10152435302734","101.24104309082031","100.97994995117188","100.94417572021484","102.69007110595703"
"499","8","2010","100.60263824462891","100.2860107421875","99.936531066894531","99.707504272460938","100.08502197265625","99.900657653808594","100.10134124755859","101.02197265625","99.342262268066406","100.43899536132812","100.32129669189453","100.700439453125","99.865470886230469","100.41637420654297","100.84803009033203","100.5023193359375","101.36654663085938","100.19775390625","100.59130859375","100.50319671630859","100.40679931640625","100.70672607421875","100.47863006591797","99.8355712890625","100.66042327880859","100.34463500976562","100.52005767822266",NA,"100.87425994873047","101.12777709960938","101.48478698730469","101.43368530273438","101.33580780029297","101.34809875488281","101.28844451904297","101.09119415283203","101.77212524414062","101.69004821777344","101.42716217041016","101.63343048095703","101.86321258544922","101.764404296875","101.75322723388672","101.63339996337891","102.00986480712891","101.49332427978516","101.65898132324219","101.86161804199219","101.63835906982422","101.81935119628906","102.1531982421875","101.98456573486328","101.75038909912109",NA,"100.51786041259766","99.548675537109375","98.899421691894531","98.294593811035156","100.64517974853516","100.14940643310547","100.73307037353516","100.09822082519531","101.17778015136719","100.86448669433594","100.22289276123047","100.79978179931641","101.77738952636719","99.931297302246094","100.94427490234375","100.93114471435547","100.839599609375","101.10896301269531","100.34980773925781","99.962852478027344","100.61528015136719","100.93543243408203"
"500","9","2010","99.654800415039062","99.387077331542969","99.025550842285156","98.798263549804688","98.956443786621094","99.246543884277344","99.206291198730469","99.539024353027344","98.464126586914062","99.591949462890625","99.503555297851562","99.803092956542969","98.834915161132812","99.621170043945312","99.712966918945312","99.641632080078125","100.25110626220703","99.409111022949219","99.738067626953125","99.548416137695312","99.449447631835938","99.687492370605469","99.701637268066406","98.9544677734375","100.31360626220703","99.852943420410156","99.449615478515625",NA,"99.662498474121094","99.714561462402344","100.08062744140625","100.04600524902344","99.948486328125","99.886459350585938","99.874359130859375","99.665725708007812","100.4168701171875","100.32738494873047","99.932464599609375","100.30307769775391","100.45851135253906","100.33225250244141","100.31114959716797","100.20761108398438","100.55865478515625","100.07890319824219","100.16668701171875","100.44119262695312","100.20981597900391","100.25468444824219","100.70767974853516","100.49571228027344","100.37382507324219",NA,"99.448638916015625","98.520362854003906","98.005561828613281","97.153190612792969","100.22792816162109","99.219856262207031","99.636871337890625","98.862037658691406","100.55567169189453","100.67436981201172","99.00244140625","99.81585693359375","100.60371398925781","99.121932983398438","100.72396087646484","100.17306518554688","99.899055480957031","99.180999755859375","99.225868225097656","98.657424926757812","99.435867309570312","100.45159149169922"
"501","10","2010","96.677627563476562","96.832687377929688","96.746376037597656","96.218963623046875","96.552459716796875","96.820732116699219","97.22979736328125","96.034622192382812","96.548629760742188","96.8905029296875","97.133651733398438","97.112953186035156","96.328926086425781","97.025482177734375","97.257102966308594","96.9735107421875","96.205131530761719","96.983879089355469","97.420463562011719","97.005973815917969","97.128189086914062","97.237403869628906","96.85748291015625","96.141258239746094","97.892723083496094","97.041099548339844","96.565788269042969",NA,"95.976287841796875","95.67523193359375","95.590522766113281","95.680877685546875","95.531723022460938","95.482795715332031","95.880767822265625","95.611175537109375","95.6143798828125","95.485908508300781","95.653274536132812","95.486122131347656","95.476882934570312","95.417266845703125","95.404548645019531","95.383506774902344","95.327598571777344","95.492622375488281","95.395248413085938","95.418853759765625","95.402420043945312","95.332344055175781","95.298057556152344","95.290267944335938","95.466773986816406",NA,"96.763618469238281","96.649124145507812","96.511177062988281","96.03021240234375","97.226226806640625","97.232933044433594","96.607040405273438","96.589401245117188","97.957412719726562","97.916702270507812","95.960792541503906","96.714958190917969","95.780281066894531","97.007034301757812","97.758247375488281","97.191085815429688","96.775703430175781","96.12896728515625","96.8614501953125","96.748947143554688","97.458297729492188","96.066009521484375"
"502","11","2010","96.615776062011719","96.685478210449219","96.575332641601562","96.329818725585938","96.265029907226562","96.600265502929688","96.847969055175781","96.516105651855469","96.549888610839844","96.735023498535156","96.961860656738281","97.101333618164062","96.343353271484375","96.601295471191406","97.054786682128906","96.780250549316406","96.704910278320312","96.478599548339844","97.039375305175781","96.748291015625","96.830429077148438","97.068267822265625","96.71258544921875","96.112319946289062","97.504066467285156","96.819793701171875","96.6676025390625",NA,"96.543998718261719","96.343086242675781","96.501235961914062","96.519493103027344","96.431381225585938","96.335716247558594","96.654045104980469","96.451751708984375","96.595046997070312","96.572738647460938","96.687728881835938","96.572280883789062","96.611534118652344","96.375770568847656","96.46282958984375","96.419685363769531","96.493782043457031","96.442817687988281","96.399681091308594","96.502540588378906","96.441299438476562","96.354011535644531","96.587913513183594","96.584259033203125","96.467971801757812",NA,"96.575279235839844","96.733489990234375","97.181037902832031","95.764678955078125","97.376396179199219","96.865554809570312","96.726806640625","96.716140747070312","97.31640625","96.800834655761719","96.592369079589844","96.408622741699219","96.18133544921875","96.330162048339844","96.878181457519531","96.887825012207031","96.849006652832031","94.863433837890625","96.71868896484375","96.477935791015625","97.103218078613281","96.575614929199219"
"503","12","2010","97.186164855957031","97.214187622070312","97.113021850585938","97.066841125488281","97.238197326660156","97.261611938476562","97.101753234863281","97.453475952148438","97.001083374023438","97.409751892089844","97.706413269042969","97.872550964355469","97.024971008300781","97.111381530761719","97.428764343261719","97.184967041015625","97.923858642578125","96.865814208984375","97.202598571777344","97.061820983886719","97.057052612304688","97.404396057128906","97.237213134765625","96.666549682617188","97.457275390625","97.480667114257812","97.337692260742188",NA,"97.7122802734375","97.754493713378906","98.131523132324219","98.044265747070312","97.958351135253906","97.936279296875","97.874305725097656","97.685920715332031","98.463760375976562","98.631690979003906","98.055694580078125","98.643241882324219","98.771583557128906","98.392036437988281","98.552444458007812","98.414794921875","98.89093017578125","98.304252624511719","98.355926513671875","98.739540100097656","98.428337097167969","98.282798767089844","98.977958679199219","98.779548645019531","98.501365661621094",NA,"96.997489929199219","96.948371887207031","97.399932861328125","96.019424438476562","98.30889892578125","96.646919250488281","97.415969848632812","97.357902526855469","97.50213623046875","96.799842834472656","97.914329528808594","97.006431579589844","97.902809143066406","96.226753234863281","97.216049194335938","97.415725708007812","97.685813903808594","95.155059814453125","96.972694396972656","96.513954162597656","96.974151611328125","98.319541931152344"
"504","1","2011","96.233375549316406","96.298309326171875","96.301467895507812","95.850471496582031","96.951362609863281","96.479164123535156","96.333564758300781","96.57525634765625","96.366607666015625","96.505722045898438","96.959709167480469","96.991676330566406","96.195030212402344","96.195701599121094","96.254676818847656","96.129219055175781","97.427452087402344","95.764610290527344","96.122955322265625","96.029930114746094","96.040451049804688","96.328865051269531","95.799224853515625","95.537368774414062","96.042243957519531","96.788780212402344","96.509452819824219",NA,"96.814537048339844","97.078857421875","97.554695129394531","97.493316650390625","97.42120361328125","97.439651489257812","97.198028564453125","97.052841186523438","97.8160400390625","98.065727233886719","97.320686340332031","98.103752136230469","98.166534423828125","97.821083068847656","98.020401000976562","97.974739074707031","98.311729431152344","97.719963073730469","97.913032531738281","98.232635498046875","97.903427124023438","97.594459533691406","98.363792419433594","98.120872497558594","97.963645935058594",NA,"96.210700988769531","96.193313598632812","95.883903503417969","96.155479431152344","97.721870422363281","95.829391479492188","96.512382507324219","96.2945556640625","96.245765686035156","95.44635009765625","96.803756713867188","96.109161376953125","97.193038940429688","95.907188415527344","95.885444641113281","96.335395812988281","96.483802795410156","94.14910888671875","96.437828063964844","96.264678955078125","96.163444519042969","97.674324035644531"
"505","2","2011","95.556106567382812","95.90850830078125","96.1524658203125","95.90789794921875","96.957351684570312","96.395866394042969","96.085670471191406","95.649124145507812","96.224197387695312","95.981651306152344","96.391212463378906","96.538490295410156","95.862464904785156","95.844139099121094","95.975738525390625","95.650131225585938","96.735565185546875","95.347328186035156","95.672203063964844","95.545249938964844","95.678848266601562","95.79052734375","95.488510131835938","95.234207153320312","95.379310607910156","95.5911865234375","95.81036376953125",NA,"95.756660461425781","95.851089477539062","96.197219848632812","96.256721496582031","96.154975891113281","96.211021423339844","96.019088745117188","95.959381103515625","96.232368469238281","96.435508728027344","96.097885131835938","96.4666748046875","96.470924377441406","96.234130859375","96.430328369140625","96.407180786132812","96.507827758789062","96.236373901367188","96.466567993164062","96.62890625","96.358634948730469","95.982589721679688","96.473396301269531","96.321723937988281","96.333045959472656",NA,"95.547782897949219","95.693405151367188","95.497200012207031","95.303390502929688","96.58477783203125","95.294586181640625","95.682929992675781","95.508407592773438","95.64794921875","94.869560241699219","95.579483032226562","95.384010314941406","95.752700805664062","95.138572692871094","95.399444580078125","95.719581604003906","95.5281982421875","93.668075561523438","95.649818420410156","95.824028015136719","95.585166931152344","95.449897766113281"
"506","3","2011","95.010894775390625","95.646682739257812","96.215728759765625","96.104377746582031","97.123519897460938","96.397125244140625","96.1800537109375","94.446212768554688","96.264373779296875","95.677665710449219","96.119583129882812","96.057548522949219","95.725151062011719","95.739967346191406","96.171379089355469","95.190963745117188","96.01702880859375","95.291130065917969","95.054458618164062","95.119407653808594","95.0394287109375","94.907295227050781","95.280685424804688","95.111328125","95.077835083007812","94.836219787597656","95.163711547851562",NA,"94.940780639648438","94.744651794433594","94.881698608398438","95.019828796386719","94.918632507324219","94.959030151367188","94.813247680664062","94.842056274414062","94.746070861816406","94.925025939941406","94.848869323730469","94.962852478027344","94.874252319335938","94.804298400878906","94.925033569335938","94.948326110839844","94.864677429199219","94.871170043945312","95.033882141113281","95.063850402832031","94.876602172851562","94.566658020019531","94.692581176757812","94.649398803710938","94.852500915527344",NA,"95.038185119628906","95.239707946777344","95.468032836914062","94.862205505371094","95.296012878417969","95.200302124023438","94.846916198730469","94.899620056152344","94.683250427246094","94.368621826171875","94.625579833984375","94.936180114746094","94.710594177246094","95.275848388671875","95.089759826660156","94.984481811523438","94.536209106445312","94.02777099609375","95.093589782714844","95.556121826171875","94.943061828613281","94.313438415527344"
"507","4","2011","93.580070495605469","94.730438232421875","95.608108520507812","95.864799499511719","95.809120178222656","95.748390197753906","95.58966064453125","92.849746704101562","96.020088195800781","94.510795593261719","95.109825134277344","94.8807373046875","94.943954467773438","94.539558410644531","95.063911437988281","94.169525146484375","94.396614074707031","94.284744262695312","93.773147583007812","93.998931884765625","94.131233215332031","93.620529174804688","94.445541381835938","94.950462341308594","94.114524841308594","93.579437255859375","93.960929870605469",NA,"93.402870178222656","92.541725158691406","92.607925415039062","92.77606201171875","92.624732971191406","92.725387573242188","92.695785522460938","92.612777709960938","92.371055603027344","92.609489440917969","92.594711303710938","92.672744750976562","92.528526306152344","92.326675415039062","92.515846252441406","92.588302612304688","92.353408813476562","92.583152770996094","92.644424438476562","92.673011779785156","92.47845458984375","91.937568664550781","92.064140319824219","92.015495300292969","92.458274841308594",NA,"93.407981872558594","93.418891906738281","93.231170654296875","93.968559265136719","91.838172912597656","93.686515808105469","93.204116821289062","93.667282104492188","93.139808654785156","92.837699890136719","92.497673034667969","93.159904479980469","92.359268188476562","94.111152648925781","93.757034301757812","93.416343688964844","92.659797668457031","91.234771728515625","93.7315673828125","94.482864379882812","93.579612731933594","92.344963073730469"
"508","5","2011","93.878746032714844","94.783859252929688","95.413009643554688","95.385269165039062","96.028923034667969","95.696861267089844","95.315231323242188","92.857292175292969","95.8856201171875","94.713523864746094","95.326713562011719","95.2994384765625","94.828102111816406","94.6947021484375","94.978996276855469","94.349090576171875","94.829093933105469","94.383934020996094","94.249397277832031","94.234298706054688","94.430068969726562","94.137405395507812","94.408248901367188","94.400154113769531","94.136695861816406","93.967277526855469","94.193046569824219",NA,"93.636756896972656","93.108444213867188","93.312660217285156","93.47760009765625","93.324089050292969","93.407623291015625","93.383895874023438","93.293601989746094","93.103736877441406","93.346664428710938","93.351852416992188","93.412353515625","93.269462585449219","93.015914916992188","93.240509033203125","93.315422058105469","93.093788146972656","93.247825622558594","93.363761901855469","93.404365539550781","93.216018676757812","92.664932250976562","92.900581359863281","92.86505126953125","93.154731750488281",NA,"93.815444946289062","93.929756164550781","93.559494018554688","93.960197448730469","93.41925048828125","93.99017333984375","93.821197509765625","94.216827392578125","93.947532653808594","93.345893859863281","93.203422546386719","93.51409912109375","92.884635925292969","94.230499267578125","94.153732299804688","93.973739624023438","93.34405517578125","91.209915161132812","94.125724792480469","94.697219848632812","94.035072326660156","93.008331298828125"
"509","6","2011","93.882331848144531","94.758460998535156","95.102424621582031","95.133987426757812","96.089424133300781","95.758247375488281","94.7701416015625","92.252029418945312","95.513198852539062","94.783706665039062","95.532363891601562","95.395301818847656","94.675506591796875","94.797615051269531","94.496772766113281","94.5804443359375","94.670166015625","94.518325805664062","94.734474182128906","94.484931945800781","94.915176391601562","94.652778625488281","94.60247802734375","94.3050537109375","94.324974060058594","94.115058898925781","94.128952026367188",NA,"93.266075134277344","92.780624389648438","92.944625854492188","93.112396240234375","92.849296569824219","93.035659790039062","92.962669372558594","92.797561645507812","92.866706848144531","93.01104736328125","92.795692443847656","93.077285766601562","92.978256225585938","92.653953552246094","92.927398681640625","92.993492126464844","92.758583068847656","92.924385070800781","93.053947448730469","93.1375732421875","92.901466369628906","92.250038146972656","92.60430908203125","92.465980529785156","92.816413879394531",NA,"93.910263061523438","93.785446166992188","92.834007263183594","93.794212341308594","93.601974487304688","93.787796020507812","93.974365234375","94.444869995117188","94.92144775390625","94.006355285644531","93.092544555664062","93.663665771484375","92.884384155273438","94.498390197753906","94.842857360839844","94.42352294921875","93.64788818359375","91.06109619140625","94.175582885742188","94.696235656738281","94.201789855957031","93.073463439941406"
"510","7","2011","93.039070129394531","93.8314208984375","94.333511352539062","93.997627258300781","95.8370361328125","95.01593017578125","94.131210327148438","91.985397338867188","94.509750366210938","93.946746826171875","94.736236572265625","94.559669494628906","93.719902038574219","93.932716369628906","93.654876708984375","93.42913818359375","94.6243896484375","93.338272094726562","93.314590454101562","93.227287292480469","93.384162902832031","93.168449401855469","93.318778991699219","93.085769653320312","93.562431335449219","93.474777221679688","93.260269165039062",NA,"93.092445373535156","92.708328247070312","93.082984924316406","93.243431091308594","93.017227172851562","93.087188720703125","92.783599853515625","92.7432861328125","93.143226623535156","93.381782531738281","92.77691650390625","93.475189208984375","93.361274719238281","92.967918395996094","93.300308227539062","93.322616577148438","93.260040283203125","93.151840209960938","93.384475708007812","93.576019287109375","93.237419128417969","92.480079650878906","93.183769226074219","92.9703369140625","93.2071533203125",NA,"92.89031982421875","92.752777099609375","91.799018859863281","92.778533935546875","93.864067077636719","92.746871948242188","93.055992126464844","93.420028686523438","93.261863708496094","92.596992492675781","92.76068115234375","92.714019775390625","92.851272583007812","93.484115600585938","93.6539306640625","93.339187622070312","92.8135986328125","89.249359130859375","93.272438049316406","93.593070983886719","92.795974731445312","93.736686706542969"
"511","8","2011","94.036201477050781","94.587127685546875","94.501953125","94.187934875488281","96.713211059570312","95.987876892089844","93.83392333984375","91.897850036621094","94.57818603515625","94.908676147460938","95.702964782714844","95.460235595703125","94.096199035644531","95.073562622070312","93.798568725585938","94.754226684570312","95.512557983398438","94.573051452636719","95.080055236816406","94.51177978515625","94.8291015625","94.770988464355469","94.690872192382812","93.649429321289062","95.581039428710938","94.295799255371094","93.7962646484375",NA,"93.126762390136719","92.990989685058594","93.199951171875","93.488716125488281","93.090423583984375","93.052772521972656","92.99700927734375","93.033782958984375","93.377761840820312","93.234817504882812","92.962600708007812","93.279342651367188","93.247871398925781","92.949485778808594","93.215072631835938","93.195747375488281","93.036163330078125","93.12701416015625","93.395179748535156","93.416191101074219","93.2012939453125","92.599983215332031","93.040672302246094","92.893646240234375","93.137527465820312",NA,"94.058723449707031","93.636016845703125","92.953567504882812","92.371498107910156","93.796928405761719","94.051551818847656","94.109260559082031","94.089492797851562","95.960800170898438","95.362342834472656","92.680404663085938","94.161666870117188","93.629714965820312","94.976066589355469","96.280174255371094","95.130439758300781","94.027923583984375","91.162315368652344","93.944053649902344","93.983428955078125","94.04656982421875","93.880691528320312"
"512","9","2011","96.950241088867188","96.581016540527344","95.934921264648438","96.055885314941406","98.1328125","98.009025573730469","94.473220825195312","95.832809448242188","96.176620483398438","97.373146057128906","97.966339111328125","97.768417358398438","96.051582336425781","97.485977172851562","95.205055236816406","97.068550109863281","97.978157043457031","97.278854370117188","97.482803344726562","96.7156982421875","96.738784790039062","96.994415283203125","97.455314636230469","95.544326782226562","98.198867797851562","96.943687438964844","95.891761779785156",NA,"95.980316162109375","96.587501525878906","96.862876892089844","97.181083679199219","96.727447509765625","96.541007995605469","96.452674865722656","96.899322509765625","97.172653198242188","96.918891906738281","96.815544128417969","96.939193725585938","96.952598571777344","96.678756713867188","96.938591003417969","96.818038940429688","96.900169372558594","96.784820556640625","97.041213989257812","97.001792907714844","97.015617370605469","96.654541015625","97.08538818359375","97.14202880859375","96.860923767089844",NA,"96.883277893066406","96.4442138671875","96.639068603515625","94.343948364257812","96.498130798339844","97.003753662109375","97.080856323242188","96.720474243164062","98.991706848144531","99.476036071777344","96.165443420410156","97.42718505859375","97.594795227050781","97.790458679199219","99.982223510742188","98.212982177734375","97.620986938476562","93.960296630859375","96.14068603515625","95.669395446777344","95.916786193847656","97.834671020507812"
"513","10","2011","97.858489990234375","97.196212768554688","96.244392395019531","96.900810241699219","98.249046325683594","98.747108459472656","94.288375854492188","96.538307189941406","96.553329467773438","98.23956298828125","98.830902099609375","98.463394165039062","96.823432922363281","98.426528930664062","95.204551696777344","97.928657531738281","97.771278381347656","98.57830810546875","98.661033630371094","97.596298217773438","97.711563110351562","98.051666259765625","98.689315795898438","96.254592895507812","98.861122131347656","97.533897399902344","96.347648620605469",NA,"96.284660339355469","97.203926086425781","97.233848571777344","97.63330078125","97.026664733886719","96.848548889160156","96.855781555175781","97.431961059570312","97.532501220703125","97.160568237304688","97.240730285644531","97.15594482421875","97.216903686523438","96.960556030273438","97.197669982910156","97.08026123046875","97.129463195800781","97.125152587890625","97.336715698242188","97.156532287597656","97.323333740234375","97.037010192871094","97.277091979980469","97.427497863769531","97.131423950195312",NA,"98.094413757324219","97.688728332519531","98.132186889648438","95.784591674804688","97.079391479492188","98.141204833984375","98.114845275878906","97.601394653320312","100.69693756103516","101.59159088134766","97.015380859375","98.817893981933594","98.478919982910156","99.677497863769531","101.86362457275391","99.47637939453125","98.88482666015625","95.409034729003906","96.988922119140625","96.616104125976562","96.805244445800781","98.328475952148438"
"514","11","2011","97.961112976074219","97.183601379394531","96.095291137695312","97.019218444824219","97.557136535644531","98.749160766601562","93.970252990722656","96.829231262207031","96.680122375488281","98.214675903320312","98.809860229492188","98.592819213867188","96.890945434570312","98.189071655273438","94.65240478515625","98.025199890136719","98.003593444824219","98.556221008300781","98.717308044433594","97.7532958984375","97.930023193359375","98.232765197753906","98.679389953613281","96.527717590332031","98.391090393066406","97.681159973144531","96.468582153320312",NA,"96.566871643066406","97.626449584960938","97.706787109375","98.109664916992188","97.388542175292969","97.296127319335938","97.2275390625","97.779022216796875","98.053085327148438","97.763786315917969","97.680137634277344","97.740837097167969","97.902091979980469","97.5472412109375","97.775283813476562","97.630996704101562","97.837776184082031","97.634994506835938","97.858818054199219","97.776504516601562","97.8486328125","97.615982055664062","97.931640625","98.008216857910156","97.693595886230469",NA,"98.199920654296875","97.6910400390625","97.623420715332031","96.535415649414062","97.503799438476562","97.777778625488281","98.498542785644531","97.917137145996094","100.86150360107422","101.64659118652344","97.530723571777344","98.9473876953125","99.062789916992188","99.225303649902344","101.80484771728516","99.612686157226562","99.249458312988281","95.73291015625","96.963836669921875","96.560546875","96.695030212402344","98.614227294921875"
"515","12","2011","98.592765808105469","97.450996398925781","96.151077270507812","97.037940979003906","98.06817626953125","98.842033386230469","93.7164306640625","98.061019897460938","96.898521423339844","98.619346618652344","99.2174072265625","99.2257080078125","97.148406982421875","98.343124389648438","94.572738647460938","98.357261657714844","99.109703063964844","98.756942749023438","99.053031921386719","98.08074951171875","98.187446594238281","98.718925476074219","98.916511535644531","96.554046630859375","98.399642944335938","98.294723510742188","97.034645080566406",NA,"97.602531433105469","99.054847717285156","99.402687072753906","99.702239990234375","99.085868835449219","99.001708984375","98.742790222167969","99.438774108886719","99.806137084960938","99.609718322753906","99.522071838378906","99.577949523925781","99.797080993652344","99.305610656738281","99.627914428710938","99.478225708007812","99.838294982910156","99.368263244628906","99.638427734375","99.649040222167969","99.668937683105469","99.512870788574219","100.02732086181641","100.10560607910156","99.468406677246094",NA,"98.789787292480469","98.212532043457031","98.100395202636719","96.629776000976562","98.280166625976562","98.011543273925781","99.501144409179688","98.615898132324219","101.30876922607422","101.81214904785156","98.637153625488281","99.515678405761719","100.36293029785156","99.206344604492188","101.95104217529297","100.18349456787109","100.13421630859375","95.8330078125","97.518936157226562","96.946296691894531","97.014930725097656","100.03595733642578"
